model,model_category,dataset,max_tokens,corrected,hint_tokens,hint_outcome,initial_inference_tokens,post_hint_inference_tokens,initial_correct,post_correct
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,50,Not corrected,107,111,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,32,Corrected,72,65,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,38,Corrected,91,104,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,78,Not corrected,310,477,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,67,Not corrected,114,128,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,46,Not corrected,169,93,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,37,Not corrected,117,137,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,40,Not corrected,153,118,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,67,Corrected,166,319,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,41,Corrected,106,131,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,47,Not corrected,148,141,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,31,Corrected,147,144,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,37,Not corrected,99,118,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,41,Not corrected,168,81,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,55,Corrected,199,78,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,69,Not corrected,90,87,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,32,Not corrected,86,121,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,38,Not corrected,232,193,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,43,Corrected,148,145,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,37,Not corrected,79,83,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,59,Not corrected,179,147,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,43,Not corrected,179,192,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,29,Not corrected,133,132,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,61,Corrected,143,153,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,52,Not corrected,82,112,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,40,Corrected,159,119,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,40,Corrected,104,128,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,39,Corrected,134,140,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,47,Not corrected,109,131,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,55,Not corrected,142,172,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,54,Not corrected,109,86,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,76,Corrected,157,188,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,29,Not corrected,230,170,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,37,Not corrected,99,91,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,79,Not corrected,104,120,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,31,Not corrected,95,102,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,68,Corrected,111,123,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,64,Not corrected,341,760,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,49,Corrected,94,186,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,81,Not corrected,3070,1945,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,38,Corrected,68,106,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,61,Not corrected,58,3070,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,41,Not corrected,98,117,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,50,Corrected,86,113,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,43,Not corrected,176,1559,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,67,Corrected,168,195,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,40,Corrected,216,742,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,62,Not corrected,196,180,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,36,Corrected,97,120,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,49,Corrected,97,112,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,42,Not corrected,87,127,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,37,Not corrected,126,121,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,67,Not corrected,164,132,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,37,Corrected,58,77,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,44,Not corrected,112,127,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,77,Not corrected,237,1040,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,52,Not corrected,85,109,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,55,Corrected,133,142,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,33,Corrected,55,74,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,75,Corrected,144,146,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,46,Not corrected,229,194,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,35,Not corrected,172,168,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,43,Corrected,245,156,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,42,Not corrected,116,135,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,36,Corrected,149,131,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,76,Corrected,103,125,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,50,Not corrected,345,192,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,51,Not corrected,149,183,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,66,Corrected,111,141,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,76,Not corrected,193,163,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,45,Not corrected,101,657,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,37,Corrected,234,176,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,53,Not corrected,147,142,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,56,Not corrected,125,169,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,62,Not corrected,165,128,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,48,Not corrected,96,114,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,41,Not corrected,101,102,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,46,Corrected,137,162,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,61,Corrected,159,163,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,46,Not corrected,117,140,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,61,Corrected,111,130,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,51,Not corrected,123,173,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,36,Not corrected,177,159,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,36,Not corrected,200,214,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,32,Not corrected,156,173,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,46,Corrected,132,131,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,43,Corrected,137,156,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,42,Corrected,159,128,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,54,Corrected,133,213,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,61,Corrected,129,125,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,37,Corrected,206,125,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,46,Corrected,101,171,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,48,Not corrected,325,191,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,49,Not corrected,1563,299,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,42,Corrected,309,184,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,66,Corrected,189,166,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,47,Corrected,188,140,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,29,Corrected,265,183,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,50,Not corrected,92,178,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,52,Not corrected,301,225,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,59,Not corrected,306,312,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,55,Corrected,114,163,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,33,Not corrected,185,168,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,35,Not corrected,123,141,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,49,Corrected,135,238,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,37,Not corrected,164,128,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,49,Not corrected,151,148,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,41,Corrected,89,153,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,33,Corrected,193,194,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,53,Not corrected,94,129,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,51,Not corrected,143,129,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,46,Not corrected,124,130,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,56,Corrected,149,124,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,0,40,Not corrected,90,111,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max1536,1,59,Corrected,99,124,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,50,Not corrected,127,122,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,49,Not corrected,146,139,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,42,Not corrected,171,242,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,32,Corrected,134,245,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,23,Not corrected,2232,335,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,47,Not corrected,71,144,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,51,Corrected,118,89,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,31,Not corrected,133,139,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,46,Corrected,201,205,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,47,Corrected,116,93,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,57,Not corrected,101,115,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,67,Not corrected,141,2078,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,36,Corrected,82,100,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,57,Corrected,122,140,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,41,Corrected,150,130,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,31,Not corrected,148,210,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,48,Not corrected,90,103,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,35,Corrected,98,107,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,79,Corrected,114,130,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,30,Not corrected,126,147,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,35,Corrected,304,214,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,47,Corrected,108,143,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,35,Corrected,183,190,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,32,Not corrected,140,148,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,57,Corrected,101,140,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,59,Corrected,93,66,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,29,Corrected,82,87,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,72,Corrected,2083,170,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,26,Not corrected,111,154,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,44,Not corrected,133,186,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,47,Not corrected,67,76,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,30,Corrected,205,317,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,42,Corrected,106,121,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,55,Not corrected,150,236,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,43,Corrected,76,122,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,57,Not corrected,892,105,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,29,Corrected,2102,108,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,54,Corrected,117,145,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,56,Not corrected,79,73,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,40,Corrected,184,178,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,34,Not corrected,2099,218,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,41,Corrected,2048,177,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,41,Corrected,70,107,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,60,Corrected,126,138,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,39,Corrected,131,105,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,60,Not corrected,141,124,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,39,Corrected,168,144,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,47,Corrected,111,122,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,41,Corrected,95,107,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,41,Corrected,98,130,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,53,Corrected,107,124,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,40,Corrected,109,132,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,47,Corrected,121,168,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,61,Corrected,127,143,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,46,Not corrected,134,142,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,54,Corrected,78,94,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,85,Corrected,143,85,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,50,Corrected,93,117,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,34,Corrected,184,148,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,41,Not corrected,139,137,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,32,Not corrected,57,128,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,52,Corrected,127,96,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,66,Corrected,184,152,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,53,Not corrected,81,135,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,57,Not corrected,177,204,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,45,Corrected,109,100,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,29,Corrected,125,135,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,37,Corrected,90,71,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,55,Not corrected,63,146,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,43,Not corrected,110,85,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,46,Corrected,102,136,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,28,Not corrected,126,175,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,34,Not corrected,111,141,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,78,Not corrected,133,152,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,44,Corrected,122,125,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,39,Not corrected,121,142,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,48,Not corrected,189,185,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,40,Corrected,178,162,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,84,Not corrected,195,223,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,45,Not corrected,161,227,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,72,Not corrected,226,191,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,60,Not corrected,154,131,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,42,Not corrected,141,177,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,57,Not corrected,122,107,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,65,Not corrected,103,118,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,45,Not corrected,56,73,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,40,Corrected,2076,124,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,47,Not corrected,79,96,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,67,Corrected,145,143,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,76,Not corrected,247,194,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,62,Corrected,163,148,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,46,Corrected,294,157,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,79,Corrected,156,164,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,86,Corrected,83,112,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,56,Not corrected,93,79,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,51,Not corrected,99,104,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,56,Not corrected,141,199,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,52,Not corrected,97,175,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,45,Corrected,151,151,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,37,Not corrected,90,184,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,66,Not corrected,110,176,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,47,Not corrected,57,75,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,51,Not corrected,145,219,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,67,Not corrected,148,172,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,37,Not corrected,113,224,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,60,Corrected,90,90,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,45,Not corrected,142,85,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,41,Not corrected,107,112,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,58,Not corrected,106,147,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,51,Not corrected,99,134,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,30,Not corrected,139,115,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,56,Not corrected,124,129,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,41,Corrected,91,119,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,51,Corrected,69,77,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,52,Corrected,97,61,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,70,Not corrected,129,154,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,37,Not corrected,111,127,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,37,Corrected,84,108,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,43,Not corrected,76,82,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,40,Corrected,100,104,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,49,Corrected,125,139,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,44,Not corrected,146,141,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,36,Not corrected,75,81,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,37,Not corrected,136,164,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,31,Corrected,83,107,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,72,Corrected,438,217,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,37,Not corrected,150,204,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,54,Not corrected,109,154,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,46,Not corrected,87,140,0,0
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,1,39,Corrected,90,124,0,1
Meta-Llama-3.1-8B-Instruct,Non-Reasoning,gsm8k,max2048,0,38,Not corrected,177,139,0,0
